Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Transmembrane	Subcellular location [CC]
A6NK06	reviewed	IRG1_HUMAN	Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)	ACOD1 IRG1	Homo sapiens (Human)	481	TISSUE SPECIFICITY: Expressed in LPS-tolerized macrophages (at protein level). Expressed in peripheral blood mononuclear cells (PBMCs), microglia and macrophage cells. {ECO:0000269|PubMed:23609450, ECO:0000269|PubMed:23610393}.	6R6U;		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P54987}.
O00182	reviewed	LEG9_HUMAN	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	LGALS9	Homo sapiens (Human)	355	TISSUE SPECIFICITY: Peripheral blood leukocytes and lymphatic tissues. Expressed in lung, liver, breast and kidney with higher levels in tumor endothelial cells than normal endothelium (at protein level) (PubMed:24333696). Expressed in trophoblast cells in decidua and placenta in pregnancy (at protein level) (PubMed:23242525, PubMed:25578313). Isoform 2 is the most abundant isoform expressed in endothelial cells (PubMed:24333696). Upon endothelial cell activation isoform 2 expression decreases while expression of isoform 3 and isoform 5 increases (PubMed:24333696). Isoform 4 decreases in pathological pregnancy (PubMed:23242525). {ECO:0000269|PubMed:23242525, ECO:0000269|PubMed:24333696, ECO:0000269|PubMed:25578313}.	2EAK;2EAL;2YY1;2ZHK;2ZHL;2ZHM;2ZHN;3LSD;3LSE;3NV1;3NV2;3NV3;3NV4;3WLU;3WV6;		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23242525}. Nucleus {ECO:0000269|PubMed:23242525}. Secreted {ECO:0000269|PubMed:23817958, ECO:0000269|PubMed:25578313}. Note=May also be secreted by a non-classical secretory pathway (By similarity). Secreted by mesenchymal stromal cells upon IFNG stimulation (PubMed:23817958). {ECO:0000250|UniProtKB:O08573, ECO:0000269|PubMed:23817958}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:24333696}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:24333696}.
O00626	reviewed	CCL22_HUMAN	C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)]	CCL22 MDC SCYA22 A-152E5.1	Homo sapiens (Human)	93	TISSUE SPECIFICITY: Highly expressed in macrophage and in monocyte-derived dendritic cells, and thymus. Also found in lymph node, appendix, activated monocytes, resting and activated macrophages. Lower expression in lung and spleen. Very weak expression in small intestine. In lymph node expressed in a mature subset of Langerhans' cells (CD1a+ and CD83+). Expressed in Langerhans' cell histiocytosis but not in dermatopathic lymphadenopathy. Expressed in atopic dermatitis, allergic contact dermatitis skin, and psoriasis, in both the epidermis and dermis. {ECO:0000269|PubMed:11241286}.			SUBCELLULAR LOCATION: Secreted.
O15040	reviewed	TCPR2_HUMAN	Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297)	TECPR2 KIAA0297 KIAA0329	Homo sapiens (Human)	1411	TISSUE SPECIFICITY: Detected in skin fibroblast (at protein level). {ECO:0000269|PubMed:23176824}.			
O15204	reviewed	ADEC1_HUMAN	ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1)	ADAMDEC1	Homo sapiens (Human)	470	TISSUE SPECIFICITY: Expressed highly in the small intestine and appendix, moderately in lymph node, mucosal lining of the colon, thymus, spleen and very weakly in the bone marrow. Predominantly expressed in dendritic cells (DC) of the germinal center. Weakly expressed in monocyte and highly expressed in macrophage. Absent in immature DC. {ECO:0000269|PubMed:14632642, ECO:0000269|PubMed:9271581}.			SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
O15266	reviewed	SHOX_HUMAN	Short stature homeobox protein (Pseudoautosomal homeobox-containing osteogenic protein) (Short stature homeobox-containing protein)	SHOX PHOG	Homo sapiens (Human)	292	TISSUE SPECIFICITY: SHOXA is expressed in skeletal muscle, placenta, pancreas, heart and bone marrow fibroblast and SHOXB is highly expressed in bone marrow fibroblast followed by kidney and skeletal muscle. SHOXB is not expressed in brain, kidney, liver and lung. Highly expressed in osteogenic cells.			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00138}.
O60870	reviewed	KIN17_HUMAN	DNA/RNA-binding protein KIN17 (Binding to curved DNA) (KIN, antigenic determinant of recA protein homolog)	KIN BTCD KIN17	Homo sapiens (Human)	393	TISSUE SPECIFICITY: Ubiquitously expressed in all tissues examined, with highest levels in skeletal muscle, heart and testis. Differentially expressed in non-tumorigenic and tumorigenic cell lines. Highly expressed in proliferating epithelial keratinocyte cells in vitro (at protein level). {ECO:0000269|PubMed:10964102, ECO:0000269|PubMed:9266022}.	2CKK;2V1N;7ABH;7ABI;8I0P;9COJ;		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11880372, ECO:0000269|PubMed:12359749, ECO:0000269|PubMed:12754299, ECO:0000269|PubMed:12853634, ECO:0000269|PubMed:15831485}. Cytoplasm {ECO:0000269|PubMed:11880372, ECO:0000269|PubMed:12359749, ECO:0000269|PubMed:12754299, ECO:0000269|PubMed:12853634, ECO:0000269|PubMed:15831485}. Note=During S phase, strongly associated with the nuclear matrix, and to chromosomal DNA in the presence of DNA damage. Also shows cytoplasmic localization in elongated spermatids. {ECO:0000250|UniProtKB:Q8K339, ECO:0000269|PubMed:11880372, ECO:0000269|PubMed:12359749, ECO:0000269|PubMed:12754299, ECO:0000269|PubMed:12853634, ECO:0000269|PubMed:15831485}.
O60902	reviewed	SHOX2_HUMAN	Short stature homeobox protein 2 (Homeobox protein Og12X) (Paired-related homeobox protein SHOT)	SHOX2 OG12X SHOT	Homo sapiens (Human)	331	TISSUE SPECIFICITY: Expressed in heart, skeletal muscle, liver, lung, bone marrow fibroblast, pancreas and placenta.			SUBCELLULAR LOCATION: Nucleus.
O75312	reviewed	ZPR1_HUMAN	Zinc finger protein ZPR1 (Zinc finger protein 259)	ZPR1 ZNF259	Homo sapiens (Human)	459	TISSUE SPECIFICITY: Expressed in fibroblast; weakly expressed in fibroblast of spinal muscular atrophy (SMA) patients. {ECO:0000269|PubMed:22422766}.			SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus. Nucleus, gem. Nucleus, Cajal body. Cytoplasm, perinuclear region. Cytoplasm. Cell projection, axon {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Note=Colocalized with SMN1 in Gemini of coiled bodies (gems), Cajal bodies, axon and growth cones of neurons (By similarity). Localized predominantly in the cytoplasm in serum-starved cells growth arrested in G0 of the mitotic cell cycle. Localized both in the nucleus and cytoplasm at the G1 phase of the mitotic cell cycle. Accumulates in the subnuclear bodies during progression into the S phase of the mitotic cell cycle. Diffusely localized throughout the cell during mitosis. Colocalized with NPAT and SMN1 in nuclear bodies including gems (Gemini of coiled bodies) and Cajal bodies in a cell cycle-dependent manner. Translocates together with EEF1A1 from the cytoplasm to the nucleolus after treatment with mitogens. Colocalized with EGFR in the cytoplasm of quiescent cells. Translocates from the cytoplasm to the nucleus in a epidermal growth factor (EGF)-dependent manner. {ECO:0000250}.
O76080	reviewed	ZFAN5_HUMAN	AN1-type zinc finger protein 5 (Zinc finger A20 domain-containing protein 2) (Zinc finger protein 216)	ZFAND5 ZA20D2 ZNF216	Homo sapiens (Human)	213	TISSUE SPECIFICITY: Highly expressed in skeletal muscle. Expressed in fetal cochlea. Also expressed in infant brain, fetal heart, pancreatic islet, melanocyte, pineal gland, placenta, corneal stroma, and parathyroid tumor. Weakly expressed or undetectable in adult brain, heart, colon, thymus, spleen, kidney, liver, small intestine, placenta, lung and peripheral blood leukocytes. Expressed in rhabdomyosarcoma RD cells (at protein level). {ECO:0000269|PubMed:14754897, ECO:0000269|PubMed:9758550}.	7QXW;		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
