Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Subcellular location [CC]	Transmembrane
A0AV02	reviewed	S12A8_HUMAN	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	SLC12A8 CCC9	Homo sapiens (Human)	714	TISSUE SPECIFICITY: Ubiquitous with very low level in normal skin. {ECO:0000269|PubMed:11863360}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	"TRANSMEM 37..60; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 72..93; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 99..116; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 123..142; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 154..173; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 185..205; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 233..254; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 266..289; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 309..331; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 360..377; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 383..403; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 593..616; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 622..643; /note=""Helical""; /evidence=""ECO:0000255"""
A8K2U0	reviewed	A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	A2ML1 CPAMD9	Homo sapiens (Human)	1454	TISSUE SPECIFICITY: In the epidermis, expressed predominantly in the granular layer at the apical edge of keratinocytes (at protein level). Also detected in placenta, testis and thymus but not in epithelia of kidney, lung, small intestine or colon. {ECO:0000269|PubMed:16298998}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16298998}.	
A8TX70	reviewed	CO6A5_HUMAN	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	COL6A5 COL29A1 VWA4	Homo sapiens (Human)	2615	TISSUE SPECIFICITY: Expressed in skin, followed by lung, small intestine, colon and testis. In skin, it is expressed in the epidermis with strongest staining in suprabasal viable layers. In ATOD patients, it is absent in the most differentiated upper spinous and granular layers (at protein level). {ECO:0000269|PubMed:17850181}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Deposed in the extracellular matrix of skeletal muscle. {ECO:0000250}.	
O00626	reviewed	CCL22_HUMAN	C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)]	CCL22 MDC SCYA22 A-152E5.1	Homo sapiens (Human)	93	TISSUE SPECIFICITY: Highly expressed in macrophage and in monocyte-derived dendritic cells, and thymus. Also found in lymph node, appendix, activated monocytes, resting and activated macrophages. Lower expression in lung and spleen. Very weak expression in small intestine. In lymph node expressed in a mature subset of Langerhans' cells (CD1a+ and CD83+). Expressed in Langerhans' cell histiocytosis but not in dermatopathic lymphadenopathy. Expressed in atopic dermatitis, allergic contact dermatitis skin, and psoriasis, in both the epidermis and dermis. {ECO:0000269|PubMed:11241286}.	SUBCELLULAR LOCATION: Secreted.	
O14625	reviewed	CXL11_HUMAN	C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11)	CXCL11 ITAC SCYB11 SCYB9B	Homo sapiens (Human)	94	TISSUE SPECIFICITY: High levels in peripheral blood leukocytes, pancreas and liver astrocytes. Moderate levels in thymus, spleen and lung. Low levels in placenta, prostate and small intestine. Also found in epidermal basal layer keratinocytes in skin disorders.	SUBCELLULAR LOCATION: Secreted.	
O15072	reviewed	ATS3_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	ADAMTS3 KIAA0366	Homo sapiens (Human)	1205	TISSUE SPECIFICITY: Found in cartilage and skin.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28985353}. Secreted, extracellular space, extracellular matrix {ECO:0000250}.	
O43820	reviewed	HYAL3_HUMAN	Hyaluronidase-3 (Hyal-3) (EC 3.2.1.35) (Hyaluronoglucosaminidase-3) (Lung carcinoma protein 3) (LuCa-3)	HYAL3 LUCA3	Homo sapiens (Human)	417	TISSUE SPECIFICITY: Expressed in sperm (PubMed:20586096). Highly expressed in epidermis of the skin, where it is expressed intracellularily in the deep horny layer (at protein level) (PubMed:21699545). Bone marrow, testis and kidney (PubMed:10493834). {ECO:0000269|PubMed:10493834, ECO:0000269|PubMed:20586096, ECO:0000269|PubMed:21699545}.	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q8VEI3}. Cell membrane {ECO:0000250|UniProtKB:Q8VEI3}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q8VEI3}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q8VEI3}. Early endosome {ECO:0000250|UniProtKB:Q8VEI3}. Note=Mostly present in low-density vesicles. Low levels in higher density vesicles of late endosomes and lysosomes. Localized in punctate cytoplasmic vesicles and in perinuclear structures, but does not colocalize with LAMP1. Localized on the plasma membrane over the acrosome and on the surface of the midpiece of the sperm tail. {ECO:0000250|UniProtKB:Q8VEI3}.	
O60259	reviewed	KLK8_HUMAN	Kallikrein-8 (hK8) (EC 3.4.21.118) (Neuropsin) (NP) (Ovasin) (Serine protease 19) (Serine protease TADG-14) (Tumor-associated differentially expressed gene 14 protein)	KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322	Homo sapiens (Human)	260	TISSUE SPECIFICITY: Isoform 1 is predominantly expressed in the pancreas. Isoform 2 is expressed in adult brain and hippocampus. Isoform 1 and isoform 2 are found in fetal brain and placenta. Detected in salivary gland, uterus, thymus, breast, testis and kidney but not in spleen, liver, lung or normal ovarian tissue. Displays an 11.5-fold increase in Alzheimer disease hippocampus compared to controls and is overexpressed in some ovarian carcinomas. Expressed at low levels in normal skin while high levels are found in psoriasis vulgaris, seborrheic keratosis, lichen planus and squamous cell carcinoma skin samples. Expressed in the keratinocytes. {ECO:0000269|PubMed:11309326, ECO:0000269|PubMed:11522960, ECO:0000269|PubMed:12147714, ECO:0000269|PubMed:17761692}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17761692}. Cytoplasm {ECO:0000269|PubMed:17761692}. Note=Shows a cytoplasmic distribution in the keratinocytes.	
O95450	reviewed	ATS2_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	ADAMTS2 PCINP PCPNI	Homo sapiens (Human)	1211	TISSUE SPECIFICITY: Expressed at high level in skin, bone, tendon and aorta and at low levels in thymus and brain.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	
P02649	reviewed	APOE_HUMAN	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317	TISSUE SPECIFICITY: Produced by several tissues and cell types and mainly found associated with lipid particles in the plasma, the interstitial fluid and lymph (PubMed:25173806). Mainly synthesized by liver hepatocytes (PubMed:25173806). Significant quantities are also produced in brain, mainly by astrocytes and glial cells in the cerebral cortex, but also by neurons in frontal cortex and hippocampus (PubMed:10027417, PubMed:3115992). It is also expressed by cells of the peripheral nervous system (PubMed:10027417, PubMed:25173806). Also expressed by adrenal gland, testis, ovary, skin, kidney, spleen and adipose tissue and macrophages in various tissues (PubMed:25173806). {ECO:0000269|PubMed:10027417, ECO:0000269|PubMed:3115992, ECO:0000303|PubMed:25173806}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2498325, ECO:0000269|PubMed:30333625}. Secreted, extracellular space {ECO:0000269|PubMed:8340399}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:9488694}. Extracellular vesicle {ECO:0000269|PubMed:26387950}. Endosome, multivesicular body {ECO:0000269|PubMed:26387950}. Note=In the plasma, APOE is associated with chylomicrons, chylomicrons remnants, VLDL, LDL and HDL lipoproteins (PubMed:1911868, PubMed:8340399). Lipid poor oligomeric APOE is associated with the extracellular matrix in a calcium- and heparan-sulfate proteoglycans-dependent manner (PubMed:9488694). Lipidation induces the release from the extracellular matrix (PubMed:9488694). Colocalizes with CD63 and PMEL at exosomes and in intraluminal vesicles within multivesicular endosomes. {ECO:0000269|PubMed:1911868, ECO:0000269|PubMed:26387950, ECO:0000269|PubMed:8340399, ECO:0000269|PubMed:9488694}.	
